Gender,Race,AgeGroup,Accuracy (%),Samples
Female,Asian,0-2,96.73,245
Female,Asian,3-5,98.6,143
Female,Asian,6-12,98.46,65
Female,Asian,13-18,100.0,37
Female,Asian,19-25,100.0,460
Female,Asian,26-35,98.9,727
Female,Asian,36-50,100.0,83
Female,Asian,51-70,100.0,35
Female,Asian,71-90,97.73,44
Female,Asian,90+,100.0,20
Female,Black,0-2,96.77,31
Female,Black,3-5,96.55,29
Female,Black,6-12,97.73,44
Female,Black,13-18,100.0,73
Female,Black,19-25,99.73,369
Female,Black,26-35,98.49,1062
Female,Black,36-50,98.04,409
Female,Black,51-70,100.0,144
Female,Black,71-90,92.68,41
Female,Black,90+,100.0,6
Female,Indian,0-2,96.6,147
Female,Indian,3-5,96.61,59
Female,Indian,6-12,100.0,79
Female,Indian,13-18,100.0,59
Female,Indian,19-25,99.34,452
Female,Indian,26-35,99.84,615
Female,Indian,36-50,100.0,171
Female,Indian,51-70,99.05,105
Female,Indian,71-90,100.0,24
Female,Indian,90+,100.0,3
Female,Other,0-2,96.83,126
Female,Other,3-5,100.0,66
Female,Other,6-12,100.0,75
Female,Other,13-18,100.0,77
Female,Other,19-25,100.0,246
Female,Other,26-35,99.61,258
Female,Other,36-50,98.53,68
Female,Other,51-70,100.0,13
Female,Other,71-90,100.0,3
Female,White,0-2,96.72,183
Female,White,3-5,99.44,178
Female,White,6-12,99.7,336
Female,White,13-18,99.72,355
Female,White,19-25,99.43,530
Female,White,26-35,99.36,1092
Female,White,36-50,98.83,681
Female,White,51-70,99.48,767
Female,White,71-90,99.54,433
Female,White,90+,93.48,46
Male,Asian,0-2,96.89,386
Male,Asian,3-5,96.34,82
Male,Asian,6-12,100.0,32
Male,Asian,13-18,100.0,24
Male,Asian,19-25,100.0,145
Male,Asian,26-35,99.54,431
Male,Asian,36-50,100.0,207
Male,Asian,51-70,98.03,152
Male,Asian,71-90,98.23,113
Male,Asian,90+,100.0,3
Male,Black,0-2,100.0,20
Male,Black,3-5,100.0,21
Male,Black,6-12,100.0,37
Male,Black,13-18,98.46,65
Male,Black,19-25,99.21,254
Male,Black,26-35,98.57,1051
Male,Black,36-50,99.14,464
Male,Black,51-70,97.85,325
Male,Black,71-90,93.75,80
Male,Black,90+,0.0,1
Male,Indian,0-2,95.68,162
Male,Indian,3-5,100.0,44
Male,Indian,6-12,100.0,29
Male,Indian,13-18,100.0,45
Male,Indian,19-25,99.53,212
Male,Indian,26-35,98.31,708
Male,Indian,36-50,98.0,601
Male,Indian,51-70,97.69,433
Male,Indian,71-90,100.0,26
Male,Indian,90+,0.0,1
Male,Other,0-2,95.33,107
Male,Other,3-5,100.0,17
Male,Other,6-12,100.0,28
Male,Other,13-18,100.0,37
Male,Other,19-25,100.0,117
Male,Other,26-35,99.26,270
Male,Other,36-50,100.0,135
Male,Other,51-70,97.83,46
Male,Other,71-90,100.0,3
Male,White,0-2,97.47,198
Male,White,3-5,99.16,119
Male,White,6-12,99.69,325
Male,White,13-18,99.35,310
Male,White,19-25,99.16,357
Male,White,26-35,98.65,1256
Male,White,36-50,99.57,1173
Male,White,51-70,99.19,1361
Male,White,71-90,97.57,371
Male,White,90+,100.0,7
