Gender,Race,AgeGroup,Accuracy (%),Samples
Female,Asian,0s,91.06,436
Female,Asian,100s,100.0,4
Female,Asian,10s,91.53,59
Female,Asian,110s,100.0,1
Female,Asian,20s,96.8,969
Female,Asian,30s,98.4,250
Female,Asian,40s,100.0,41
Female,Asian,50s,100.0,24
Female,Asian,60s,100.0,15
Female,Asian,70s,100.0,14
Female,Asian,80s,88.89,27
Female,Asian,90s,94.74,19
Female,Black,0s,95.4,87
Female,Black,100s,0.0,1
Female,Black,10s,93.81,97
Female,Black,110s,100.0,2
Female,Black,20s,95.66,991
Female,Black,30s,96.7,637
Female,Black,40s,94.68,188
Female,Black,50s,95.05,101
Female,Black,60s,90.57,53
Female,Black,70s,83.33,24
Female,Black,80s,85.0,20
Female,Black,90s,85.71,7
Female,Indian,0s,93.21,265
Female,Indian,10s,96.63,89
Female,Indian,110s,100.0,2
Female,Indian,20s,97.24,870
Female,Indian,30s,98.47,261
Female,Indian,40s,98.85,87
Female,Indian,50s,95.0,80
Female,Indian,60s,93.55,31
Female,Indian,70s,100.0,13
Female,Indian,80s,100.0,15
Female,Indian,90s,100.0,1
Female,Other,0s,89.6,250
Female,Other,10s,97.06,102
Female,Other,20s,98.25,400
Female,Other,30s,97.71,131
Female,Other,40s,100.0,30
Female,Other,50s,100.0,10
Female,Other,60s,100.0,6
Female,Other,80s,100.0,3
Female,White,0s,95.49,577
Female,White,100s,100.0,9
Female,White,10s,98.01,503
Female,White,110s,83.33,6
Female,White,20s,96.58,1052
Female,White,30s,97.31,780
Female,White,40s,97.11,380
Female,White,50s,97.41,425
Female,White,60s,98.37,367
Female,White,70s,98.08,208
Female,White,80s,98.31,236
Female,White,90s,96.55,58
Male,Asian,0s,93.71,493
Male,Asian,100s,0.0,1
Male,Asian,10s,94.59,37
Male,Asian,110s,100.0,1
Male,Asian,20s,94.17,360
Male,Asian,30s,96.75,277
Male,Asian,40s,96.55,116
Male,Asian,50s,96.7,91
Male,Asian,60s,97.5,80
Male,Asian,70s,97.14,70
Male,Asian,80s,87.18,39
Male,Asian,90s,100.0,10
Male,Black,0s,92.54,67
Male,Black,10s,94.12,85
Male,Black,20s,94.23,867
Male,Black,30s,91.63,621
Male,Black,40s,91.03,234
Male,Black,50s,90.29,206
Male,Black,60s,93.15,146
Male,Black,70s,90.62,64
Male,Black,80s,90.48,21
Male,Black,90s,71.43,7
Male,Indian,0s,94.64,224
Male,Indian,10s,100.0,60
Male,Indian,20s,95.71,629
Male,Indian,30s,98.7,461
Male,Indian,40s,96.8,344
Male,Indian,50s,94.62,372
Male,Indian,60s,99.22,129
Male,Indian,70s,91.18,34
Male,Indian,80s,100.0,6
Male,Indian,90s,100.0,2
Male,Other,0s,92.54,134
Male,Other,10s,98.31,59
Male,Other,20s,97.06,272
Male,Other,30s,100.0,149
Male,Other,40s,98.89,90
Male,Other,50s,97.87,47
Male,Other,60s,100.0,6
Male,Other,70s,100.0,2
Male,Other,80s,100.0,1
Male,White,0s,95.27,529
Male,White,100s,100.0,4
Male,White,10s,96.14,440
Male,White,110s,100.0,1
Male,White,20s,97.54,934
Male,White,30s,98.35,969
Male,White,40s,97.96,735
Male,White,50s,97.45,943
Male,White,60s,96.69,483
Male,White,70s,97.04,270
Male,White,80s,97.06,136
Male,White,90s,90.91,33
