Gender,Race,AgeGroup,Accuracy (%),Samples
Female,Asian,0s,17.2,436
Female,Asian,100s,25.0,4
Female,Asian,10s,72.88,59
Female,Asian,110s,0.0,1
Female,Asian,20s,65.53,969
Female,Asian,30s,70.4,250
Female,Asian,40s,70.73,41
Female,Asian,50s,79.17,24
Female,Asian,60s,53.33,15
Female,Asian,70s,50.0,14
Female,Asian,80s,55.56,27
Female,Asian,90s,36.84,19
Female,Black,0s,36.78,87
Female,Black,100s,0.0,1
Female,Black,10s,51.55,97
Female,Black,110s,0.0,2
Female,Black,20s,52.67,991
Female,Black,30s,54.63,637
Female,Black,40s,59.57,188
Female,Black,50s,60.4,101
Female,Black,60s,54.72,53
Female,Black,70s,41.67,24
Female,Black,80s,45.0,20
Female,Black,90s,28.57,7
Female,Indian,0s,29.43,265
Female,Indian,10s,74.16,89
Female,Indian,110s,50.0,2
Female,Indian,20s,69.66,870
Female,Indian,30s,72.41,261
Female,Indian,40s,85.06,87
Female,Indian,50s,61.25,80
Female,Indian,60s,67.74,31
Female,Indian,70s,53.85,13
Female,Indian,80s,40.0,15
Female,Indian,90s,100.0,1
Female,Other,0s,36.0,250
Female,Other,10s,81.37,102
Female,Other,20s,79.75,400
Female,Other,30s,79.39,131
Female,Other,40s,90.0,30
Female,Other,50s,70.0,10
Female,Other,60s,50.0,6
Female,Other,80s,33.33,3
Female,White,0s,37.26,577
Female,White,100s,22.22,9
Female,White,10s,82.31,503
Female,White,110s,66.67,6
Female,White,20s,71.39,1052
Female,White,30s,72.69,780
Female,White,40s,76.05,380
Female,White,50s,69.18,425
Female,White,60s,62.4,367
Female,White,70s,54.81,208
Female,White,80s,44.92,236
Female,White,90s,32.76,58
Male,Asian,0s,8.11,493
Male,Asian,100s,0.0,1
Male,Asian,10s,51.35,37
Male,Asian,110s,0.0,1
Male,Asian,20s,60.28,360
Male,Asian,30s,61.73,277
Male,Asian,40s,58.62,116
Male,Asian,50s,47.25,91
Male,Asian,60s,37.5,80
Male,Asian,70s,45.71,70
Male,Asian,80s,17.95,39
Male,Asian,90s,60.0,10
Male,Black,0s,20.9,67
Male,Black,10s,50.59,85
Male,Black,20s,51.33,867
Male,Black,30s,51.69,621
Male,Black,40s,54.27,234
Male,Black,50s,48.54,206
Male,Black,60s,47.95,146
Male,Black,70s,43.75,64
Male,Black,80s,23.81,21
Male,Black,90s,57.14,7
Male,Indian,0s,18.75,224
Male,Indian,10s,71.67,60
Male,Indian,20s,61.84,629
Male,Indian,30s,61.39,461
Male,Indian,40s,52.62,344
Male,Indian,50s,53.76,372
Male,Indian,60s,49.61,129
Male,Indian,70s,41.18,34
Male,Indian,80s,50.0,6
Male,Indian,90s,0.0,2
Male,Other,0s,23.13,134
Male,Other,10s,64.41,59
Male,Other,20s,58.46,272
Male,Other,30s,61.74,149
Male,Other,40s,66.67,90
Male,Other,50s,55.32,47
Male,Other,60s,16.67,6
Male,Other,70s,50.0,2
Male,Other,80s,0.0,1
Male,White,0s,30.62,529
Male,White,100s,0.0,4
Male,White,10s,61.14,440
Male,White,110s,100.0,1
Male,White,20s,59.1,934
Male,White,30s,59.96,969
Male,White,40s,60.27,735
Male,White,50s,59.81,943
Male,White,60s,53.42,483
Male,White,70s,43.7,270
Male,White,80s,43.38,136
Male,White,90s,36.36,33
