Gender,Race,AgeGroup,Accuracy (%),Samples
Female,Asian,0-2,90.61,245
Female,Asian,3-5,97.9,143
Female,Asian,6-12,100.0,65
Female,Asian,13-18,100.0,37
Female,Asian,19-25,99.78,460
Female,Asian,26-35,99.04,727
Female,Asian,36-50,100.0,83
Female,Asian,51-70,100.0,35
Female,Asian,71-90,97.73,44
Female,Asian,90+,100.0,20
Female,Black,0-2,100.0,31
Female,Black,3-5,100.0,29
Female,Black,6-12,100.0,44
Female,Black,13-18,100.0,73
Female,Black,19-25,99.46,369
Female,Black,26-35,99.53,1062
Female,Black,36-50,99.76,409
Female,Black,51-70,99.31,144
Female,Black,71-90,95.12,41
Female,Black,90+,66.67,6
Female,Indian,0-2,95.92,147
Female,Indian,3-5,96.61,59
Female,Indian,6-12,96.2,79
Female,Indian,13-18,100.0,59
Female,Indian,19-25,99.12,452
Female,Indian,26-35,99.51,615
Female,Indian,36-50,99.42,171
Female,Indian,51-70,100.0,105
Female,Indian,71-90,95.83,24
Female,Indian,90+,100.0,3
Female,Other,0-2,92.06,126
Female,Other,3-5,96.97,66
Female,Other,6-12,100.0,75
Female,Other,13-18,100.0,77
Female,Other,19-25,100.0,246
Female,Other,26-35,99.61,258
Female,Other,36-50,100.0,68
Female,Other,51-70,100.0,13
Female,Other,71-90,100.0,3
Female,White,0-2,91.8,183
Female,White,3-5,97.75,178
Female,White,6-12,99.7,336
Female,White,13-18,100.0,355
Female,White,19-25,98.87,530
Female,White,26-35,99.63,1092
Female,White,36-50,99.85,681
Female,White,51-70,99.09,767
Female,White,71-90,99.54,433
Female,White,90+,95.65,46
Male,Asian,0-2,91.71,386
Male,Asian,3-5,97.56,82
Male,Asian,6-12,100.0,32
Male,Asian,13-18,100.0,24
Male,Asian,19-25,99.31,145
Male,Asian,26-35,99.54,431
Male,Asian,36-50,100.0,207
Male,Asian,51-70,100.0,152
Male,Asian,71-90,97.35,113
Male,Asian,90+,100.0,3
Male,Black,0-2,100.0,20
Male,Black,3-5,100.0,21
Male,Black,6-12,100.0,37
Male,Black,13-18,98.46,65
Male,Black,19-25,98.82,254
Male,Black,26-35,99.43,1051
Male,Black,36-50,98.49,464
Male,Black,51-70,99.69,325
Male,Black,71-90,95.0,80
Male,Black,90+,100.0,1
Male,Indian,0-2,97.53,162
Male,Indian,3-5,100.0,44
Male,Indian,6-12,100.0,29
Male,Indian,13-18,100.0,45
Male,Indian,19-25,98.58,212
Male,Indian,26-35,99.29,708
Male,Indian,36-50,99.17,601
Male,Indian,51-70,98.15,433
Male,Indian,71-90,100.0,26
Male,Indian,90+,100.0,1
Male,Other,0-2,93.46,107
Male,Other,3-5,100.0,17
Male,Other,6-12,100.0,28
Male,Other,13-18,100.0,37
Male,Other,19-25,98.29,117
Male,Other,26-35,100.0,270
Male,Other,36-50,100.0,135
Male,Other,51-70,97.83,46
Male,Other,71-90,100.0,3
Male,White,0-2,93.43,198
Male,White,3-5,94.96,119
Male,White,6-12,98.77,325
Male,White,13-18,99.68,310
Male,White,19-25,99.72,357
Male,White,26-35,99.12,1256
Male,White,36-50,99.49,1173
Male,White,51-70,99.19,1361
Male,White,71-90,97.84,371
Male,White,90+,100.0,7
