Gender,Race,AgeGroup,Accuracy (%),Samples
Female,Asian,0-2,100.0,245
Female,Asian,3-5,100.0,143
Female,Asian,6-12,100.0,65
Female,Asian,13-18,100.0,37
Female,Asian,19-25,99.78,460
Female,Asian,26-35,99.72,727
Female,Asian,36-50,100.0,83
Female,Asian,51-70,100.0,35
Female,Asian,71-90,97.73,44
Female,Asian,90+,100.0,20
Female,Black,0-2,100.0,31
Female,Black,3-5,100.0,29
Female,Black,6-12,97.73,44
Female,Black,13-18,100.0,73
Female,Black,19-25,98.92,369
Female,Black,26-35,99.34,1062
Female,Black,36-50,100.0,409
Female,Black,51-70,99.31,144
Female,Black,71-90,100.0,41
Female,Black,90+,83.33,6
Female,Indian,0-2,97.96,147
Female,Indian,3-5,96.61,59
Female,Indian,6-12,100.0,79
Female,Indian,13-18,100.0,59
Female,Indian,19-25,99.34,452
Female,Indian,26-35,99.67,615
Female,Indian,36-50,99.42,171
Female,Indian,51-70,99.05,105
Female,Indian,71-90,100.0,24
Female,Indian,90+,100.0,3
Female,Other,0-2,96.03,126
Female,Other,3-5,100.0,66
Female,Other,6-12,100.0,75
Female,Other,13-18,100.0,77
Female,Other,19-25,100.0,246
Female,Other,26-35,99.22,258
Female,Other,36-50,100.0,68
Female,Other,51-70,100.0,13
Female,Other,71-90,100.0,3
Female,White,0-2,97.81,183
Female,White,3-5,100.0,178
Female,White,6-12,99.7,336
Female,White,13-18,99.72,355
Female,White,19-25,99.81,530
Female,White,26-35,99.73,1092
Female,White,36-50,100.0,681
Female,White,51-70,99.87,767
Female,White,71-90,100.0,433
Female,White,90+,100.0,46
Male,Asian,0-2,98.45,386
Male,Asian,3-5,98.78,82
Male,Asian,6-12,100.0,32
Male,Asian,13-18,100.0,24
Male,Asian,19-25,100.0,145
Male,Asian,26-35,100.0,431
Male,Asian,36-50,100.0,207
Male,Asian,51-70,100.0,152
Male,Asian,71-90,99.12,113
Male,Asian,90+,100.0,3
Male,Black,0-2,100.0,20
Male,Black,3-5,100.0,21
Male,Black,6-12,100.0,37
Male,Black,13-18,98.46,65
Male,Black,19-25,98.82,254
Male,Black,26-35,99.14,1051
Male,Black,36-50,99.35,464
Male,Black,51-70,100.0,325
Male,Black,71-90,100.0,80
Male,Black,90+,100.0,1
Male,Indian,0-2,97.53,162
Male,Indian,3-5,100.0,44
Male,Indian,6-12,100.0,29
Male,Indian,13-18,100.0,45
Male,Indian,19-25,99.53,212
Male,Indian,26-35,99.58,708
Male,Indian,36-50,99.67,601
Male,Indian,51-70,100.0,433
Male,Indian,71-90,100.0,26
Male,Indian,90+,100.0,1
Male,Other,0-2,95.33,107
Male,Other,3-5,100.0,17
Male,Other,6-12,100.0,28
Male,Other,13-18,100.0,37
Male,Other,19-25,99.15,117
Male,Other,26-35,99.26,270
Male,Other,36-50,100.0,135
Male,Other,51-70,100.0,46
Male,Other,71-90,100.0,3
Male,White,0-2,98.48,198
Male,White,3-5,98.32,119
Male,White,6-12,100.0,325
Male,White,13-18,100.0,310
Male,White,19-25,99.44,357
Male,White,26-35,99.36,1256
Male,White,36-50,99.66,1173
Male,White,51-70,99.85,1361
Male,White,71-90,99.46,371
Male,White,90+,100.0,7
